ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight
10350017,2.0,4,85,23,10,12.4,3.17,32,2.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,1.0,1983.0,2.0,2.0,3.0,3.0,7000.0,7.0,2,2,1,2,2,2.0,0.0,4.54,3.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,5.0,6.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,1.0,5.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,7,1,1,4,1,5.0,2,4.0,1.0,1.0,4.0,1,30.0,1.0,52.0,3.0,255.0,1,27.0,0.000378621
10350120,4.0,4,116,26,34,24.8,4.87,33,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,25.0,5.0,2.0,1946.0,2.0,2.0,9.0,2.0,9000.0,4.0,1,2,2,2,2,1.0,12.4,6.98,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,7,1,1,4,1,5.0,2,3.0,2.0,2.0,3.0,1,45.0,1.0,56.0,5.0,30.0,1,64.0,9.82e-05
10350125,4.0,1,35,15,4,4.8,0.69,9,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.5,36.0,4.0,2.0,1942.0,1.0,1.0,9.0,8.0,7000.0,3.0,2,2,2,2,2,1.0,4.8,0.99,4.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,7,1,1,4,1,3.0,1,1.0,2.0,2.0,3.0,1,7.0,1.0,16.0,4.0,15.0,1,68.0,0.000288998
10350125,11.0,0,11,10,0,2.2,0.13,1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.5,36.0,4.0,2.0,1942.0,1.0,1.0,9.0,8.0,7000.0,3.0,2,2,2,2,2,1.0,2.2,0.19,4.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,7,1,1,4,1,3.0,1,1.0,2.0,2.0,3.0,1,1.0,1.0,1.0,4.0,7.0,1,68.0,0.000288998
10350197,1.0,5,124,36,24,11.0,2.44,22,2.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,6.0,1.0,1980.0,2.0,2.0,1.0,2.0,15000.0,8.0,2,2,1,2,2,1.0,0.0,3.5,2.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,5.0,1.0,4.0,5.0,1.0,4.0,6.0,4.0,5.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,4.0,2.0,6.0,1.0,5.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,4.0,4.0,4.0,2.0,1.0,7,1,1,4,1,5.0,2,3.0,3.0,1.0,3.0,1,26.0,1.0,64.0,1.0,24.0,1,30.0,0.000378621
10350199,4.0,4,123,21,59,9.4,2.03,19,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,1977.0,2.0,3.0,2.0,4.0,9000.0,6.0,2,2,2,2,2,1.0,9.4,2.91,4.0,4.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,4.0,6.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0,6.0,2.0,4.0,2.0,2.0,6.0,6.0,3.0,4.0,2.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,6.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,7,1,1,4,1,3.0,1,3.0,2.0,1.0,2.0,1,22.0,1.0,43.0,5.0,20.0,1,33.0,0.000232084
10350199,4.0,2,80,26,3,4.8,1.13,12,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,1977.0,2.0,3.0,2.0,4.0,9000.0,6.0,2,2,2,2,2,1.0,4.8,1.62,4.0,4.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,4.0,6.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0,6.0,2.0,4.0,2.0,2.0,6.0,6.0,3.0,4.0,2.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,6.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,7,1,1,4,1,3.0,2,3.0,2.0,1.0,2.0,1,11.0,1.0,51.0,5.0,20.0,1,33.0,0.000232084
10350272,1.0,3,266,67,95,37.2,5.34,51,2.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,41.0,4.0,1.0,1968.0,2.0,3.0,1.0,8.0,7000.0,3.0,2,2,2,2,2,1.0,37.2,7.65,2.0,1.0,3.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,2.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,4.0,3.0,6.0,6.0,4.0,6.0,6.0,3.0,6.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,7,1,1,4,1,5.0,3,4.0,2.0,2.0,3.0,1,55.0,1.0,104.0,3.0,,1,42.0,0.000409116
10350272,7.0,5,250,18,137,11.0,5.16,40,2.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,41.0,4.0,1.0,1968.0,2.0,3.0,1.0,8.0,7000.0,3.0,2,2,2,2,2,1.0,11.0,7.39,2.0,1.0,3.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,2.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,4.0,3.0,6.0,6.0,4.0,6.0,6.0,3.0,6.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,7,1,1,4,1,5.0,2,4.0,2.0,2.0,3.0,1,49.5,1.0,95.0,3.0,20.0,1,42.0,0.000409116
10360009,4.0,1,29,12,0,6.2,0.92,9,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,,1.0,1.0,7.0,30.0,4.0,1.0,1941.0,2.0,3.0,9.0,1.0,7000.0,3.0,2,2,2,2,2,1.0,6.2,1.32,6.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4,2,1,4,1,1.0,1,1.0,3.0,2.0,3.0,1,9.0,1.0,17.0,4.0,10.0,1,69.0,0.0003213
