ID,Cluster_2
10350017,0
10350125,0
10350125,0
10350197,0
10350199,0
10350199,0
10350272,0
10360011,0
10360011,1
10360014,0
10360023,0
10360023,0
10360023,0
10360024,0
10360035,0
10360122,0
10360139,0
10360159,0
10360177,0
10360177,0
10360193,0
10360196,0
10360212,0
10360212,0
10360235,0
10360284,0
10360284,0
10360414,0
10360414,0
10360462,0
10360464,0
10360465,0
10360465,0
10360475,0
10360518,0
10360519,1
10360526,0
10360527,0
10360527,0
10360533,1
10360536,0
10360574,0
10360574,0
10360574,0
10360575,0
10360575,0
10360575,0
10540009,0
10540009,0
10540009,0
10540066,0
10540067,0
10540067,0
10540067,0
10540128,0
10540131,0
10540131,0
10540169,0
10540178,0
10540178,0
10540187,0
10540188,0
10540215,0
10540216,0
10540237,0
10540260,0
10540265,0
10540266,0
10540271,0
10540271,0
10540297,1
10540514,0
10540514,0
10540514,0
10540514,0
10540548,0
10540548,0
10540563,1
10540606,0
10540659,0
10540660,0
10540672,0
10540675,0
10540675,0
10540689,0
10540689,0
10540692,1
10540692,0
10540806,0
10540807,0
10541086,0
10541086,0
10980080,0
10980080,0
10980080,0
10980080,0
11460082,0
14050047,0
14050047,0
14050075,0
14050133,1
14050134,0
14050180,0
14050180,0
14050182,0
14050186,0
14050186,0
14050193,0
19130036,1
19130149,0
19130149,0
19130179,0
19130206,0
19130206,0
19130213,1
19130238,0
19130279,1
19130374,1
19130578,0
19130578,0
19130578,0
19130766,0
19130798,0
19130798,0
19130855,0
19130855,0
19610035,0
19610035,0
19610182,0
19610203,1
19650025,0
19650025,0
19650025,0
19650026,0
19650026,0
19650071,0
19650138,0
19650139,1
19650217,0
19650224,0
19650224,0
19650257,0
19650281,0
19650327,0
19650328,0
19650328,0
19650425,0
19650447,0
19650447,0
19650448,0
19650490,1
19650491,0
19650491,0
19650511,0
19650512,0
19650626,0
19650626,0
19650626,0
19650699,0
19650699,0
19650700,0
19730033,0
19730034,1
19730119,0
19730126,0
28000144,0
28000144,0
28000244,0
28000344,0
28000344,0
28000363,0
28000414,0
28000449,1
28000450,0
